Item name: Decay VV

Real time: 60
Live time: 371.56
Time calibration: 1.408649E-02ns/ch

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	20
99	10
100	16
101	12
102	17
103	19
104	12
105	12
106	15
107	16
108	9
109	13
110	18
111	12
112	12
113	12
114	13
115	9
116	10
117	11
118	13
119	13
120	7
121	10
122	11
123	20
124	12
125	17
126	11
127	11
128	11
129	14
130	8
131	14
132	6
133	11
134	9
135	13
136	15
137	11
138	11
139	9
140	14
141	16
142	11
143	14
144	8
145	11
146	12
147	21
148	9
149	20
150	10
151	13
152	12
153	13
154	11
155	12
156	14
157	9
158	15
159	15
160	13
161	17
162	6
163	14
164	14
165	12
166	14
167	11
168	15
169	13
170	15
171	11
172	7
173	14
174	15
175	11
176	13
177	15
178	9
179	12
180	12
181	15
182	18
183	14
184	20
185	11
186	12
187	15
188	15
189	10
190	19
191	9
192	10
193	11
194	18
195	13
196	17
197	17
198	14
199	9
200	12
201	21
202	14
203	13
204	16
205	13
206	18
207	17
208	11
209	15
210	10
211	15
212	13
213	19
214	16
215	12
216	11
217	8
218	11
219	13
220	9
221	10
222	14
223	15
224	19
225	16
226	17
227	7
228	13
229	7
230	12
231	8
232	7
233	15
234	14
235	12
236	12
237	15
238	10
239	18
240	6
241	11
242	10
243	10
244	16
245	14
246	14
247	12
248	15
249	17
250	15
251	12
252	10
253	10
254	15
255	13
256	16
257	10
258	8
259	12
260	14
261	11
262	17
263	10
264	16
265	13
266	12
