Item name: Decay VH

Real time: 60
Live time: 343.6
Time calibration: 1.408649E-02ns/ch

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	4
99	9
100	8
101	5
102	10
103	8
104	11
105	7
106	8
107	3
108	6
109	5
110	8
111	11
112	4
113	12
114	8
115	8
116	7
117	7
118	13
119	12
120	10
121	11
122	5
123	7
124	7
125	4
126	10
127	6
128	6
129	7
130	10
131	5
132	3
133	3
134	13
135	6
136	6
137	8
138	6
139	8
140	12
141	7
142	4
143	10
144	8
145	8
146	12
147	9
148	7
149	4
150	8
151	9
152	9
153	10
154	8
155	7
156	4
157	7
158	11
159	7
160	3
161	15
162	10
163	3
164	7
165	7
166	9
167	8
168	9
169	5
170	9
171	8
172	4
173	9
174	2
175	5
176	8
177	7
178	3
179	8
180	11
181	4
182	10
183	10
184	6
185	8
186	8
187	7
188	6
189	7
190	11
191	7
192	2
193	9
194	7
195	9
196	7
197	10
198	5
199	10
200	9
201	10
202	4
203	7
204	7
205	6
206	9
207	13
208	8
209	4
210	5
211	6
212	5
213	10
214	7
215	10
216	7
217	9
218	10
219	9
220	8
221	11
222	5
223	12
224	9
225	9
226	7
227	7
228	8
229	10
230	10
231	7
232	3
233	6
234	14
235	2
236	9
237	8
238	8
239	10
240	6
241	4
242	9
243	8
244	7
245	5
246	4
247	12
248	10
249	8
250	7
251	8
252	10
253	6
254	12
255	6
256	12
257	9
258	9
259	9
260	5
261	10
262	9
263	10
264	7
265	6
266	6
