Item name: Decay

Real time: 1086.08
Live time: 698.02
Time calibration: 1.408649E-02ns/ch

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	23
99	25
100	27
101	26
102	23
103	31
104	21
105	29
106	26
107	19
108	24
109	17
110	23
111	22
112	25
113	27
114	17
115	22
116	22
117	28
118	32
119	19
120	17
121	32
122	26
123	24
124	22
125	18
126	16
127	24
128	32
129	26
130	35
131	19
132	21
133	19
134	12
135	26
136	22
137	23
138	26
139	23
140	26
141	25
142	21
143	19
144	28
145	21
146	19
147	16
148	19
149	11
150	21
151	14
152	19
153	19
154	22
155	20
156	31
157	20
158	24
159	21
160	17
161	27
162	27
163	17
164	21
165	26
166	21
167	21
168	24
169	25
170	27
171	23
172	20
173	19
174	26
175	15
176	20
177	20
178	30
179	27
180	19
181	29
182	14
183	26
184	24
185	21
186	27
187	25
188	26
189	24
190	29
191	30
192	26
193	18
194	19
195	23
196	22
197	20
198	28
199	24
200	18
201	22
202	21
203	33
204	25
205	21
206	19
207	27
208	21
209	24
210	19
211	14
212	20
213	29
214	18
215	23
216	23
217	26
218	17
219	21
220	23
221	29
222	16
223	26
224	26
225	21
226	14
227	19
228	27
229	25
230	22
231	20
232	30
233	20
234	32
235	32
236	28
237	20
238	15
239	21
240	21
241	22
242	28
243	24
244	18
245	22
246	24
247	21
248	17
249	24
250	25
251	23
252	17
253	22
254	28
255	28
256	25
257	21
258	22
259	25
260	22
261	29
262	17
263	15
264	23
265	28
266	17
