Item name: Prompt

Real time: 56.72
Live time: 29.54
Time calibration: 1.408649E-02ns/ch

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	2
99	1
100	2
101	1
102	3
103	1
104	2
105	0
106	1
107	0
108	1
109	1
110	2
111	2
112	1
113	3
114	2
115	2
116	2
117	0
118	1
119	2
120	2
121	2
122	0
123	1
124	2
125	1
126	4
127	3
128	1
129	1
130	4
131	3
132	0
133	2
134	2
135	0
136	2
137	0
138	1
139	2
140	1
141	1
142	1
143	1
144	2
145	2
146	3
147	0
148	2
149	2
150	3
151	2
152	2
153	4
154	0
155	3
156	5
157	1
158	1
159	1
160	2
161	0
162	0
163	3
164	1
165	1
166	3
167	1
168	4
169	2
170	1
171	1
172	1
173	1
174	3
175	2
176	2
177	1
178	4
179	2
180	1
181	1
182	3
183	1
184	1
185	3
186	3
187	1
188	6
189	1
190	2
191	2
192	2
193	1
194	1
195	1
196	2
197	4
198	1
199	4
200	3
201	0
202	2
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	2
211	0
212	0
213	1
214	3
215	0
216	2
217	1
218	1
219	1
220	1
221	5
222	2
223	1
224	2
225	2
226	2
227	2
228	1
229	1
230	3
231	2
232	3
233	1
234	4
235	2
236	1
237	1
238	1
239	2
240	0
241	1
242	1
243	2
244	0
245	1
246	4
247	0
248	2
249	2
250	1
251	2
252	5
253	2
254	2
255	1
256	3
257	4
258	3
259	1
260	0
261	1
262	1
263	2
264	1
265	0
266	4
