Item name: Decay

Real time: 3699.78
Live time: 1506.96
Time calibration: 1.408649E-02ns/ch

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	46519
99	46955
100	46619
101	46722
102	46182
103	46317
104	46060
105	45909
106	46021
107	46474
108	46369
109	46787
110	46006
111	46764
112	46584
113	46209
114	46230
115	46303
116	46713
117	46553
118	46184
119	46564
120	46322
121	46321
122	46632
123	46145
124	46843
125	45866
126	45775
127	46368
128	46086
129	45951
130	46235
131	46283
132	46254
133	46302
134	46208
135	46199
136	46897
137	46451
138	46725
139	46687
140	46444
141	46659
142	46467
143	46679
144	46413
145	47144
146	46774
147	46597
148	46945
149	47025
150	46534
151	46568
152	46453
153	46987
154	47036
155	46427
156	46667
157	46794
158	46602
159	47138
160	47057
161	46868
162	46798
163	46635
164	47076
165	47065
166	46711
167	46397
168	46478
169	46851
170	46607
171	46685
172	46933
173	46333
174	46639
175	46914
176	46935
177	46872
178	46962
179	46556
180	46907
181	46624
182	46661
183	46496
184	46562
185	46555
186	46507
187	46852
188	46988
189	46811
190	46540
191	46235
192	46702
193	46672
194	46620
195	46199
196	46361
197	46372
198	46757
199	46241
200	46290
201	46666
202	46626
203	46304
204	46627
205	46545
206	46096
207	46034
208	46398
209	46274
210	46408
211	46244
212	46735
213	46702
214	46216
215	46468
216	46378
217	46429
218	46904
219	46008
220	46103
221	46256
222	46150
223	46142
224	46259
225	46207
226	46172
227	46479
228	46232
229	45967
230	45671
231	46177
232	46097
