Time [ns]	Intensity [Cnts.]
0	7
0.00799999996803358	7
0.0159999999360672	2
0.0239999999041007	9
0.0319999998721343	6
0.0399999998401679	6
0.0479999998082015	11
0.055999999776235	6
0.0639999997442686	4
0.0720000031817491	8
0.0799999996803358	4
0.0879999961789224	9
0.0959999996164029	4
0.104000003053883	5
0.11199999955247	7
0.119999996051057	5
0.127999999488537	5
0.136000002926018	5
0.144000006363498	7
0.151999995923191	6
0.159999999360672	0
0.168000002798152	5
0.175999992357845	4
0.183999995795325	7
0.191999999232806	6
0.200000002670286	6
0.208000006107767	6
0.21599999566746	6
0.22399999910494	2
0.232000002542421	3
0.239999992102113	12
0.248000009417382	2
0.255999998977074	2
0.263999988536767	7
0.272000005852036	2
0.279999995411728	3
0.288000012726997	5
0.296000002286689	3
0.303999991846382	4
0.31200000916165	8
0.319999998721343	5
0.327999988281036	1
0.336000005596304	1
0.343999995155997	9
0.35199998471569	3
0.360000002030958	6
0.367999991590651	5
0.376000008905919	4
0.383999998465612	7
0.391999988025304	6
0.400000005340573	2
0.407999994900266	3
0.416000012215534	7
0.424000001775227	2
0.431999991334919	8
0.440000008650188	4
0.44799999820988	6
0.455999987769573	8
0.464000005084841	5
0.471999994644534	1
0.479999984204227	4
0.48799997376392	4
0.496000018834764	5
0.504000008394456	7
0.511999997954149	4
0.519999987513842	7
0.527999977073534	8
0.536000022144378	4
0.544000011704071	3
0.552000001263764	7
0.559999990823457	7
0.567999980383149	6
0.576000025453993	11
0.584000015013686	7
0.592000004573379	3
0.599999994133071	6
0.607999983692764	5
0.615999973252457	9
0.624000018323301	3
0.632000007882994	2
0.639999997442686	6
0.647999987002379	10
0.655999976562072	6
0.664000021632916	5
0.672000011192608	5
0.680000000752301	2
0.687999990311994	4
0.695999979871687	5
0.703999969431379	7
0.712000014502223	5
0.720000004061916	5
0.727999993621609	4
0.735999983181301	8
0.743999972740994	7
0.752000017811838	6
0.760000007371531	6
0.767999996931223	2
0.775999986490916	5
0.783999976050609	3
0.792000021121453	6
0.800000010681146	8
0.808000000240838	5
0.815999989800531	2
0.823999979360224	7
0.832000024431068	2
0.84000001399076	3
0.848000003550453	5
0.855999993110146	5
0.863999982669839	11
0.871999972229531	5
0.880000017300375	2
0.888000006860068	8
0.895999996419761	6
0.903999985979453	8
0.911999975539146	6
0.92000002060999	3
0.928000010169683	3
0.935999944218224	3
0.943999989289068	3
0.952000034359912	7
0.959999968408454	1
0.968000013479298	5
0.975999947527839	5
0.983999992598683	8
0.992000037669527	11
0.999999971718068	3
1.00800001678891	5
1.01599995083745	8
1.0239999959083	3
1.03200004097914	9
1.03999997502768	5
1.04800002009853	5
1.05599995414707	8
1.06399999921791	5
1.07200004428876	6
1.0799999783373	7
1.08800002340814	3
1.09599995745668	5
1.10400000252753	4
1.11200004759837	5
1.11999998164691	3
1.12800002671776	7
1.1359999607663	5
1.14400000583714	6
1.15200005090799	7
1.15999998495653	5
1.16800003002737	11
1.17599996407591	3
1.18400000914676	2
1.1919999431953	6
1.19999998826614	6
1.20800003333699	5
1.21599996738553	5
1.22400001245637	4
1.23199994650491	6
1.23999999157576	6
1.2480000366466	3
1.25599997069514	10
1.26400001576599	4
1.27199994981453	2
1.27999999488537	8
1.28800003995622	2
1.29599997400476	5
1.3040000190756	11
1.31199995312414	5
1.31999999819499	5
1.32800004326583	9
1.33599997731437	4
1.34400002238522	5
1.35199995643376	4
1.3600000015046	3
1.36800004657545	3
1.37599998062399	4
1.38400002569483	8
1.39199995974337	5
1.40000000481422	4
1.40799993886276	3
1.4159999839336	7
1.42400002900445	5
1.43199996305299	3
1.44000000812383	7
1.44799994217237	4
1.45599998724322	5
1.46400003231406	4
1.4719999663626	0
1.48000001143345	6
1.48799994548199	8
1.49599999055283	8
1.50400003562368	6
1.51199996967222	3
1.52000001474306	6
1.5279999487916	8
1.53599999386245	3
1.54400003893329	10
1.55199997298183	5
1.56000001805268	6
1.56799995210122	10
1.57599999717206	8
1.58400004224291	5
1.59199997629145	3
1.60000002136229	3
1.60799995541083	5
1.61600000048168	6
1.62400004555252	3
1.63199997960106	2
1.64000002467191	7
1.64799995872045	6
1.65600000379129	6
1.66400004886214	9
1.67199998291068	4
1.68000002798152	6
1.68799996203006	6
1.69600000710091	8
1.70399994114945	8
1.71199998622029	6
1.72000003129114	3
1.72799996533968	2
1.73600001041052	7
1.74399994445906	7
1.75199998952991	6
1.76000003460075	4
1.76799996864929	4
1.77600001372014	3
1.78399994776868	5
1.79199999283952	7
1.80000003791037	3
1.80799997195891	4
1.81600001702975	5
1.82399995107829	2
1.83199999614914	5
1.84000004121998	6
1.84799997526852	3
1.85600002033937	3
1.86400006541021	4
1.87199988843645	5
1.87999993350729	9
1.88799997857814	3
1.89600002364898	4
1.90400006871982	11
1.91199989174606	7
1.91999993681691	2
1.92799998188775	11
1.9360000269586	10
1.94400007202944	8
1.95199989505568	6
1.95999994012652	6
1.96799998519737	4
1.97600003026821	2
1.98400007533905	4
1.99199989836529	5
1.99999994343614	4
2.00799998850698	5
2.01600003357782	9
2.02400007864867	7
2.03199990167491	1
2.03999994674575	11
2.0479999918166	2
2.05600003688744	7
