Time [ns]	Intensity [Cnts.]
0	2
0.00799999996803358	6
0.0159999999360672	2
0.0239999999041007	5
0.0319999998721343	3
0.0399999998401679	4
0.0479999998082015	7
0.055999999776235	6
0.0639999997442686	7
0.0720000031817491	8
0.0799999996803358	3
0.0879999961789224	10
0.0959999996164029	4
0.104000003053883	7
0.11199999955247	7
0.119999996051057	5
0.127999999488537	8
0.136000002926018	3
0.144000006363498	7
0.151999995923191	5
0.159999999360672	8
0.168000002798152	7
0.175999992357845	3
0.183999995795325	6
0.191999999232806	6
0.200000002670286	4
0.208000006107767	9
0.21599999566746	4
0.22399999910494	3
0.232000002542421	8
0.239999992102113	1
0.248000009417382	5
0.255999998977074	3
0.263999988536767	3
0.272000005852036	5
0.279999995411728	4
0.288000012726997	4
0.296000002286689	9
0.303999991846382	3
0.31200000916165	5
0.319999998721343	4
0.327999988281036	5
0.336000005596304	8
0.343999995155997	5
0.35199998471569	9
0.360000002030958	2
0.367999991590651	6
0.376000008905919	3
0.383999998465612	5
0.391999988025304	4
0.400000005340573	3
0.407999994900266	11
0.416000012215534	8
0.424000001775227	3
0.431999991334919	4
0.440000008650188	5
0.44799999820988	6
0.455999987769573	5
0.464000005084841	6
0.471999994644534	8
0.479999984204227	5
0.48799997376392	6
0.496000018834764	2
0.504000008394456	8
0.511999997954149	7
0.519999987513842	3
0.527999977073534	7
0.536000022144378	2
0.544000011704071	3
0.552000001263764	9
0.559999990823457	6
0.567999980383149	6
0.576000025453993	5
0.584000015013686	11
0.592000004573379	5
0.599999994133071	5
0.607999983692764	5
0.615999973252457	5
0.624000018323301	5
0.632000007882994	5
0.639999997442686	11
0.647999987002379	5
0.655999976562072	7
0.664000021632916	4
0.672000011192608	5
0.680000000752301	6
0.687999990311994	5
0.695999979871687	6
0.703999969431379	9
0.712000014502223	5
0.720000004061916	13
0.727999993621609	7
0.735999983181301	14
0.743999972740994	3
0.752000017811838	9
0.760000007371531	3
0.767999996931223	8
0.775999986490916	8
0.783999976050609	9
0.792000021121453	4
0.800000010681146	6
0.808000000240838	5
0.815999989800531	4
0.823999979360224	6
0.832000024431068	8
0.84000001399076	10
0.848000003550453	4
0.855999993110146	9
0.863999982669839	10
0.871999972229531	4
0.880000017300375	9
0.888000006860068	3
0.895999996419761	8
0.903999985979453	4
0.911999975539146	6
0.92000002060999	7
0.928000010169683	2
0.935999944218224	6
0.943999989289068	7
0.952000034359912	13
0.959999968408454	10
0.968000013479298	12
0.975999947527839	8
0.983999992598683	4
0.992000037669527	7
0.999999971718068	8
1.00800001678891	3
1.01599995083745	1
1.0239999959083	5
1.03200004097914	6
1.03999997502768	3
1.04800002009853	8
1.05599995414707	7
1.06399999921791	4
1.07200004428876	6
1.0799999783373	6
1.08800002340814	12
1.09599995745668	6
1.10400000252753	5
1.11200004759837	2
1.11999998164691	8
1.12800002671776	7
1.1359999607663	7
1.14400000583714	3
1.15200005090799	3
1.15999998495653	11
1.16800003002737	1
1.17599996407591	5
1.18400000914676	4
1.1919999431953	8
1.19999998826614	4
1.20800003333699	8
1.21599996738553	7
1.22400001245637	6
1.23199994650491	8
1.23999999157576	6
1.2480000366466	7
1.25599997069514	5
1.26400001576599	9
1.27199994981453	4
1.27999999488537	9
1.28800003995622	7
1.29599997400476	7
1.3040000190756	4
1.31199995312414	2
1.31999999819499	1
1.32800004326583	6
1.33599997731437	6
1.34400002238522	9
1.35199995643376	8
1.3600000015046	4
1.36800004657545	10
1.37599998062399	7
1.38400002569483	7
1.39199995974337	4
1.40000000481422	4
1.40799993886276	9
1.4159999839336	11
1.42400002900445	2
1.43199996305299	11
1.44000000812383	4
1.44799994217237	5
1.45599998724322	6
1.46400003231406	8
1.4719999663626	5
1.48000001143345	7
1.48799994548199	3
1.49599999055283	6
1.50400003562368	5
1.51199996967222	10
1.52000001474306	8
1.5279999487916	5
1.53599999386245	10
1.54400003893329	8
1.55199997298183	8
1.56000001805268	8
1.56799995210122	8
1.57599999717206	5
1.58400004224291	4
1.59199997629145	7
1.60000002136229	3
1.60799995541083	6
1.61600000048168	4
1.62400004555252	7
1.63199997960106	7
1.64000002467191	3
1.64799995872045	6
1.65600000379129	1
1.66400004886214	6
1.67199998291068	9
1.68000002798152	10
1.68799996203006	4
1.69600000710091	6
1.70399994114945	6
1.71199998622029	6
1.72000003129114	3
1.72799996533968	4
1.73600001041052	9
1.74399994445906	6
1.75199998952991	5
1.76000003460075	8
1.76799996864929	3
1.77600001372014	7
1.78399994776868	3
1.79199999283952	7
1.80000003791037	6
1.80799997195891	8
1.81600001702975	8
1.82399995107829	4
1.83199999614914	4
1.84000004121998	5
1.84799997526852	8
1.85600002033937	4
1.86400006541021	7
1.87199988843645	6
1.87999993350729	5
1.88799997857814	7
1.89600002364898	8
1.90400006871982	6
1.91199989174606	5
1.91999993681691	4
1.92799998188775	5
1.9360000269586	8
1.94400007202944	12
1.95199989505568	9
1.95999994012652	3
1.96799998519737	9
1.97600003026821	8
1.98400007533905	2
1.99199989836529	8
1.99999994343614	8
2.00799998850698	4
2.01600003357782	5
2.02400007864867	3
2.03199990167491	8
2.03999994674575	9
2.0479999918166	6
2.05600003688744	8
2.06400008195828	7
2.07199990498452	5
2.07999995005537	13
2.08799999512621	8
2.09600004019705	6
2.1040000852679	8
2.11199990829414	5
2.11999995336498	7
2.12799999843583	7
2.13600004350667	3
2.14400008857751	6
2.15199991160375	9
2.1599999566746	2
2.16800000174544	6
2.17600004681628	4
2.18400009188713	9
2.19199991491337	5
2.19999995998421	6
2.20800000505506	3
2.2160000501259	8
2.22400009519674	8
2.23199991822298	3
2.23999996329383	4
2.24800000836467	3
2.25600005343551	3
2.26400009850636	8
2.2719999215326	3
2.27999996660344	9
2.28800001167428	6
2.29600005674513	8
2.30400010181597	2
2.31199992484221	6
2.31999996991306	6
2.3280000149839	3
2.33600006005474	9
2.34399988308098	12
2.35199992815183	2
2.35999997322267	10
2.36800001829351	3
2.37600006336436	7
2.3839998863906	3
2.39199993146144	5
2.39999997653229	11
2.40800002160313	4
2.41600006667397	7
2.42399988970021	7
2.43199993477106	7
2.4399999798419	9
2.44800002491274	4
2.45600006998359	4
2.46399989300983	11
2.47199993808067	3
2.47999998315152	3
2.48800002822236	5
2.4960000732932	3
2.50399989631944	8
2.51199994139029	6
2.51999998646113	1
2.52800003153197	3
2.53600007660282	7
2.54399989962906	7
2.5519999446999	7
2.55999998977074	3
2.56800003484159	6
2.57600007991243	4
2.58399990293867	9
2.59199994800952	5
2.59999999308036	7
2.6080000381512	10
2.61600008322205	7
2.62399990624829	9
2.63199995131913	4
2.63999999638997	6
2.64800004146082	7
2.65600008653166	5
2.6639999095579	6
2.67199995462875	8
2.67999999969959	2
2.68800004477043	5
2.69600008984128	4
2.70399991286752	6
2.71199995793836	4
2.7200000030092	7
2.72800004808005	9
2.73600009315089	2
2.74399991617713	8
2.75199996124798	10
2.76000000631882	12
2.76800005138966	6
2.77600009646051	7
2.78399991948675	10
2.79199996455759	4
2.80000000962843	6
2.80800005469928	4
2.81599987772552	6
2.82399992279636	6
2.8319999678672	5
2.84000001293805	3
2.84800005800889	3
2.85599988103513	5
2.86399992610598	9
2.87199997117682	3
2.88000001624766	8
2.88800006131851	4
2.89599988434475	6
2.90399992941559	6
2.91199997448643	8
2.92000001955728	7
2.92800006462812	7
2.93599988765436	7
2.94399993272521	6
2.95199997779605	5
2.96000002286689	2
2.96800006793774	11
2.97599989096398	5
2.98399993603482	4
2.99199998110566	4
3.00000002617651	10
3.00800007124735	2
3.01599989427359	7
3.02399993934444	2
3.03199998441528	11
3.04000002948612	3
3.04800007455697	8
3.05599989758321	6
3.06399994265405	7
3.07199998772489	7
3.08000003279574	6
3.08800007786658	2
3.09599990089282	4
3.10399994596366	8
3.11199999103451	8
3.12000003610535	4
3.1280000811762	9
3.13599990420244	2
3.14399994927328	7
3.15199999434412	7
3.16000003941497	5
3.16800008448581	5
3.17599990751205	6
3.18399995258289	3
3.19199999765374	3
3.20000004272458	8
3.20800008779543	2
3.21599991082167	7
3.22399995589251	8
3.23200000096335	7
3.2400000460342	6
3.24800009110504	4
3.25599991413128	3
3.26399995920212	2
3.27200000427297	6
3.28000004934381	9
3.28800009441466	6
3.29599991744089	7
3.30399996251174	6
3.31200000758258	7
3.32000005265343	5
3.32800009772427	10
3.33599992075051	7
3.34399996582135	5
3.3520000108922	9
3.36000005596304	5
3.36799987898928	7
3.37599992406012	3
3.38399996913097	10
3.39200001420181	8
3.40000005927266	7
3.4079998822989	5
3.41599992736974	6
3.42399997244058	4
3.43200001751143	1
3.44000006258227	4
3.44799988560851	2
3.45599993067935	3
3.4639999757502	6
3.47200002082104	5
3.48000006589189	7
3.48799988891813	8
3.49599993398897	7
3.50399997905981	6
3.51200002413066	3
3.5200000692015	4
3.52799989222774	7
3.53599993729858	5
3.54399998236943	6
3.55200002744027	5
3.56000007251112	10
3.56799989553735	15
3.5759999406082	2
3.58399998567904	7
3.59200003074989	8
3.60000007582073	9
3.60799989884697	8
3.61599994391781	3
3.62399998898866	2
3.6320000340595	8
3.64000007913035	5
3.64799990215658	7
3.65599994722743	8
3.66399999229827	7
3.67200003736912	5
3.68000008243996	6
3.6879999054662	5
3.69599995053704	5
3.70399999560789	4
3.71200004067873	8
3.72000008574958	8
3.72800013082042	6
3.73599995384666	6
3.7439997768729	10
3.75200004398835	4
3.75999986701458	8
3.76800013413003	8
3.77599995715627	12
3.78399978018251	2
3.79200004729796	5
3.7999998703242	2
3.80800013743965	9
3.81599996046589	10
3.82399978349213	4
3.83200005060758	5
3.83999987363382	8
3.84800014074926	8
3.8559999637755	8
3.86399978680174	7
3.87200005391719	3
3.87999987694343	6
3.88800014405888	8
3.89599996708512	1
3.90399979011136	6
3.91200005722681	9
3.91999988025304	3
3.92800014736849	2
3.93599997039473	3
3.94399979342097	6
3.95200006053642	6
3.95999988356266	7
3.96800015067811	2
3.97599997370435	4
3.98399979673059	7
3.99200006384604	3
3.99999988687227	7
4.00800015398772	13
4.01599997701396	4
4.0239998000402	11
4.03200006715565	6
4.03999989018189	6
4.04800015729734	9
4.05599998032358	3
4.06399980334982	4
4.07200007046526	2
4.0799998934915	3
4.08800016060695	8
4.09599998363319	12
4.10399980665943	8
4.11200007377488	7
4.11999989680112	7
4.12800016391657	3
4.13599998694281	4
4.14399980996905	4
4.15200007708449	5
4.15999990011073	5
4.16800016722618	11
4.17599999025242	3
4.18399981327866	3
4.19200008039411	1
4.19999990342035	6
4.2080001705358	5
4.21599999356204	2
4.22399981658828	4
4.23200008370372	7
4.23999990672996	6
4.24800017384541	4
4.25599999687165	1
4.26399981989789	5
4.27200008701334	3
4.27999991003958	4
4.28800017715503	4
4.29600000018127	8
4.30399982320751	2
4.31200009032295	5
4.31999991334919	9
4.32800018046464	6
4.33600000349088	6
4.34399982651712	7
4.35200009363257	8
4.35999991665881	7
4.36800018377426	9
4.3760000068005	9
4.38399982982673	6
4.39200009694218	2
4.39999991996842	6
4.40800018708387	7
4.41600001011011	6
4.42399983313635	10
4.4320001002518	1
4.43999992327804	4
4.44800019039349	6
4.45600001341973	5
4.46399983644596	7
4.47200010356141	10
4.47999992658765	5
4.4880001937031	3
4.49600001672934	8
4.50399983975558	7
4.51200010687103	7
4.51999992989727	12
4.52800019701272	7
4.53600002003895	15
4.54399984306519	20
4.55200011018064	34
4.55999993320688	34
4.56800020032233	60
4.57600002334857	72
4.58399984637481	130
4.59200011349026	184
4.5999999365165	253
4.60800020363195	364
4.61600002665818	512
4.62399984968442	693
4.63200011679987	980
4.63999993982611	1324
4.64799976285235	1681
4.6560000299678	2140
4.66399985299404	2691
4.67200012010949	3438
4.67999994313573	4309
4.68799976616197	5242
4.69600003327741	6402
4.70399985630365	7633
4.7120001234191	9287
4.71999994644534	10944
4.72799976947158	13018
4.73600003658703	15333
4.74399985961327	17217
4.75200012672872	20024
4.75999994975496	23222
4.76799977278119	26158
4.77600003989664	29676
4.78399986292288	33358
4.79200013003833	36741
4.79999995306457	40307
4.80799977609081	43884
4.81600004320626	47229
4.8239998662325	51039
4.83200013334795	53548
4.83999995637419	56335
4.84799977940042	58821
4.85600004651587	61134
4.86399986954211	63335
4.87200013665756	64723
4.8799999596838	65697
4.88799978271004	67504
4.89600004982549	68541
4.90399987285173	69516
4.91200013996718	70016
4.91999996299342	70508
4.92799978601965	71155
4.9360000531351	72402
4.94399987616134	72571
4.95200014327679	72347
4.95999996630303	72701
4.96799978932927	72421
4.97600005644472	73257
4.98399987947096	72896
4.99200014658641	73114
4.99999996961265	73228
5.00799979263888	72949
5.01600005975433	72769
5.02399988278057	73116
5.03200014989602	72749
5.03999997292226	72743
5.0479997959485	72767
5.05600006306395	72395
5.06399988609019	72250
5.07200015320564	71949
5.07999997623187	71958
5.08799979925811	71414
5.09600006637356	71666
5.1039998893998	71373
5.11200015651525	71199
5.11999997954149	71010
5.12799980256773	70924
5.13600006968318	70704
5.14399989270942	70098
5.15200015982487	70751
5.1599999828511	70144
5.16799980587734	69973
5.17600007299279	69938
5.18399989601903	69136
5.19200016313448	69151
5.19999998616072	68538
5.20799980918696	69023
5.21600007630241	68115
5.22399989932865	68037
5.2320001664441	67972
5.23999998947033	67103
5.24799981249657	67723
5.25600007961202	67269
5.26399990263826	67037
5.27200016975371	66733
5.27999999277995	66333
5.28799981580619	66141
5.29600008292164	66171
5.30399990594788	65700
5.31200017306332	66105
5.31999999608956	65165
5.3279998191158	65692
5.33600008623125	65260
5.34399990925749	64856
5.35200017637294	64605
5.35999999939918	64742
5.36799982242542	63878
5.37600008954087	64292
5.38399991256711	63558
5.39200017968255	63661
5.40000000270879	63161
5.40799982573503	63256
5.41600009285048	62941
5.42399991587672	62684
5.43200018299217	62148
5.44000000601841	62165
5.44799982904465	62296
5.4560000961601	62006
5.46399991918634	61637
5.47200018630178	62252
5.48000000932802	61647
5.48799983235426	61337
5.49600009946971	60719
5.50399992249595	60771
5.5120001896114	60604
5.52000001263764	60566
5.52799983566388	59447
5.53600010277933	60467
5.54399992580556	59922
5.55200019292101	59614
5.56000001594725	59441
5.56799983897349	59603
5.57600010608894	59168
5.58399992911518	59111
5.59200019623063	58475
5.60000001925687	58632
5.60799984228311	58372
5.61600010939856	58023
5.62399993242479	57978
5.63199975545103	57492
5.64000002256648	57505
5.64799984559272	57558
5.65600011270817	57304
5.66399993573441	57063
5.67199975876065	56943
5.6800000258761	56659
5.68799984890234	56572
5.69600011601779	56260
5.70399993904402	56338
5.71199976207026	55700
5.72000002918571	55244
5.72799985221195	55364
5.7360001193274	54966
5.74399994235364	55274
5.75199976537988	54882
5.76000003249533	54838
5.76799985552157	54851
5.77600012263702	54251
5.78399994566325	53978
5.79199976868949	53619
5.80000003580494	53579
5.80799985883118	53692
5.81600012594663	53644
5.82399994897287	53524
5.83199977199911	53267
5.84000003911456	52714
5.8479998621408	52642
5.85600012925624	52850
5.86399995228248	52739
5.87199977530872	52483
5.88000004242417	52207
5.88799986545041	52466
5.89600013256586	51752
5.9039999555921	51602
5.91199977861834	51471
5.92000004573379	50912
5.92799986876003	51195
5.93600013587547	50787
5.94399995890171	50414
5.95199978192795	50721
5.9600000490434	50525
5.96799987206964	50139
5.97600013918509	50172
5.98399996221133	49793
5.99199978523757	49817
6.00000005235302	49616
6.00799987537926	49530
6.0160001424947	49632
6.02399996552094	49011
6.03199978854718	49228
6.04000005566263	48738
6.04799987868887	48844
6.05600014580432	48524
6.06399996883056	48514
6.0719997918568	48470
6.08000005897225	48218
6.08799988199848	47886
6.09600014911393	47864
6.10399997214017	47498
6.11199979516641	47911
6.12000006228186	46834
6.1279998853081	47119
6.13600015242355	47048
6.14399997544979	47061
6.15199979847603	46016
6.16000006559148	46570
6.16799988861771	46485
6.17600015573316	45769
6.1839999787594	45981
6.19199980178564	46083
6.20000006890109	45901
6.20799989192733	45441
6.21600015904278	45024
6.22399998206902	45405
6.23199980509526	45186
6.2400000722107	45002
6.24799989523694	45027
6.25600016235239	44468
6.26399998537863	44195
6.27199980840487	44275
6.28000007552032	44164
6.28799989854656	44132
6.29600016566201	43884
6.30399998868825	44269
6.31199981171449	43848
6.32000007882994	43788
6.32799990185617	43416
6.33600016897162	43527
6.34399999199786	42868
6.3519998150241	43117
6.36000008213955	42818
6.36799990516579	42842
6.37600017228124	42894
6.38399999530748	42282
6.39199981833372	41927
6.40000008544916	42363
6.4079999084754	42211
6.41600017559085	41733
6.42399999861709	41835
6.43199982164333	41276
6.44000008875878	41310
6.44799991178502	41319
6.45600017890047	41073
6.46400000192671	41275
6.47199982495295	41050
6.48000009206839	40942
6.48799991509463	40733
6.49600018221008	40624
6.50400000523632	40430
6.51199982826256	40459
6.52000009537801	40361
6.52799991840425	40009
6.5360001855197	40298
6.54400000854594	39759
6.55199983157218	39617
6.56000009868762	39338
6.56799992171386	39391
6.57600018882931	39177
6.58400001185555	39038
6.59199983488179	39147
