Parameters:
  Sample_Temperature : 20.0 °C
  Sample_TargetTemperature : 20.0 °C
  Stirrer_State : Off
  Exc_Wavelength : 485.0 nm
  Exc_Bandpass : 1.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 800-D
  Exc_Attenuation : 10% (4)
  Det_Wavelength : 485.0 nm
  Det_Bandpass : 10.8 nm
  Det_Polarisation : 90.0 °
  Det_Lens_Position : 6.0 mm
  Det_Attenuation : 6 %
  Det_Filter : FGL 495 (1)
  Det_Grating : 1200gr_500bl (1)
  Detector : UV-red [HPD]
  Meas_BinWidth : 8 ps
  Meas_BaseResolution : 1 ps
  Sync_Frequency : 19507720 Hz
  Sync_Source : PDL 800 D
  Signal_Rate : 240 cps
  Start_Date : 10/20/2015
  Start_Time : 11:13:13
  PhotonCounter : HydraHarp 400 1011011 1.21
  EasyTau : 1874
  Signal_CFD Level : 70 mV
  Signal_CFD Zero Cross : 10 mV
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_CFD Level : 160 mV
  Sync_CFD Zero Cross : 10 mV
  Sync_Offset : 30000 ps
  Sync_SyncDiv : 8 
   : 
	NOD:      	 SH:0.1.0.9 SW:1.0.4.213 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:0.1.0.6 SW:1.0.4.213 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:1.0.4.20 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:0.1.0.9 SW:1.0.4.24 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:1.0.4.20 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:0.1.0.9 SW:1.0.4.24 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.213 HW:0.0.1.2 AUX:0.0.0.0
	DEV(SMP):	 SH:1.0.4.32 SW:1.0.4.224 HW:0.1.1.10 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.4.179 HW:0.1.1.10 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(ETC):	 SH:0.1.0.8 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(LSC):	 SH:0.1.0.8 SW:0.1.0.1 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(LSC):	 SH:0.1.0.8 SW:0.1.0.1 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.0.2.4 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.0 SW:1.1.7.115 HW:0.0.2.4 AUX:0.0.0.0
  Sample : <undefined>
  Solvent : <undefined>

Data:
Time [ns]	Intensity [Cnts.]
0	3
0.00799999996803358	5
0.0159999999360672	4
0.0239999999041007	4
0.0319999998721343	6
0.0399999998401679	4
0.0479999998082015	5
0.055999999776235	6
0.0639999997442686	6
0.0720000031817491	4
0.0799999996803358	5
0.0879999961789224	5
0.0959999996164029	3
0.104000003053883	7
0.11199999955247	6
0.119999996051057	7
0.127999999488537	8
0.136000002926018	6
0.144000006363498	5
0.151999995923191	3
0.159999999360672	9
0.168000002798152	6
0.175999992357845	7
0.183999995795325	10
0.191999999232806	2
0.200000002670286	3
0.208000006107767	3
0.21599999566746	4
0.22399999910494	6
0.232000002542421	6
0.239999992102113	4
0.248000009417382	5
0.255999998977074	5
0.263999988536767	5
0.272000005852036	3
0.279999995411728	10
0.288000012726997	8
0.296000002286689	2
0.303999991846382	6
0.31200000916165	3
0.319999998721343	8
0.327999988281036	1
0.336000005596304	5
0.343999995155997	7
0.35199998471569	9
0.360000002030958	6
0.367999991590651	5
0.376000008905919	5
0.383999998465612	7
0.391999988025304	2
0.400000005340573	8
0.407999994900266	2
0.416000012215534	2
0.424000001775227	3
0.431999991334919	6
0.440000008650188	1
0.44799999820988	4
0.455999987769573	4
0.464000005084841	3
0.471999994644534	5
0.479999984204227	2
0.48799997376392	8
0.496000018834764	1
0.504000008394456	4
0.511999997954149	7
0.519999987513842	5
0.527999977073534	3
0.536000022144378	3
0.544000011704071	2
0.552000001263764	4
0.559999990823457	5
0.567999980383149	1
0.576000025453993	3
0.584000015013686	6
0.592000004573379	5
0.599999994133071	5
0.607999983692764	4
0.615999973252457	2
0.624000018323301	4
0.632000007882994	5
0.639999997442686	2
0.647999987002379	3
0.655999976562072	5
0.664000021632916	2
0.672000011192608	6
0.680000000752301	7
0.687999990311994	3
0.695999979871687	0
0.703999969431379	5
0.712000014502223	5
0.720000004061916	7
0.727999993621609	3
0.735999983181301	6
0.743999972740994	7
0.752000017811838	5
0.760000007371531	6
0.767999996931223	5
0.775999986490916	4
0.783999976050609	5
0.792000021121453	5
0.800000010681146	4
0.808000000240838	3
0.815999989800531	9
0.823999979360224	5
0.832000024431068	3
0.84000001399076	3
0.848000003550453	4
0.855999993110146	4
0.863999982669839	7
0.871999972229531	2
0.880000017300375	5
0.888000006860068	3
0.895999996419761	2
0.903999985979453	7
0.911999975539146	9
0.92000002060999	7
0.928000010169683	1
0.935999944218224	2
0.943999989289068	7
0.952000034359912	5
0.959999968408454	3
0.968000013479298	3
0.975999947527839	0
0.983999992598683	3
0.992000037669527	6
0.999999971718068	6
1.00800001678891	3
1.01599995083745	4
1.0239999959083	5
1.03200004097914	5
1.03999997502768	1
1.04800002009853	4
1.05599995414707	5
1.06399999921791	1
1.07200004428876	6
1.0799999783373	13
1.08800002340814	2
1.09599995745668	3
1.10400000252753	4
1.11200004759837	6
1.11999998164691	4
1.12800002671776	8
1.1359999607663	2
1.14400000583714	2
1.15200005090799	2
1.15999998495653	4
1.16800003002737	2
1.17599996407591	5
1.18400000914676	3
1.1919999431953	2
1.19999998826614	3
1.20800003333699	2
1.21599996738553	5
1.22400001245637	5
1.23199994650491	5
1.23999999157576	9
1.2480000366466	6
1.25599997069514	6
1.26400001576599	2
1.27199994981453	5
1.27999999488537	8
1.28800003995622	2
1.29599997400476	7
1.3040000190756	4
1.31199995312414	7
1.31999999819499	9
1.32800004326583	6
1.33599997731437	10
1.34400002238522	2
1.35199995643376	4
1.3600000015046	3
1.36800004657545	3
1.37599998062399	5
1.38400002569483	4
1.39199995974337	2
1.40000000481422	3
1.40799993886276	7
1.4159999839336	4
1.42400002900445	0
1.43199996305299	7
1.44000000812383	7
1.44799994217237	8
1.45599998724322	2
1.46400003231406	4
1.4719999663626	4
1.48000001143345	4
1.48799994548199	8
1.49599999055283	5
1.50400003562368	2
1.51199996967222	3
1.52000001474306	6
1.5279999487916	5
1.53599999386245	5
1.54400003893329	4
1.55199997298183	5
1.56000001805268	2
1.56799995210122	5
1.57599999717206	5
1.58400004224291	7
1.59199997629145	2
1.60000002136229	5
1.60799995541083	5
1.61600000048168	5
1.62400004555252	2
1.63199997960106	8
1.64000002467191	6
1.64799995872045	2
1.65600000379129	6
