Parameters:
  Sample : Sample_1
  Solvent : <unspecified>
  Comment : 

  Sample_Temperature : 20.0 °C
  Sample_TargetTemperature : 20.0 °C
  Stirrer_State : Off
  Exc_Wavelength : 485.0 nm
  Exc_Bandpass : 1.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 800-D
  Exc_Attenuation : 10% (4)
  Det_Wavelength : 520.0 nm
  Det_Bandpass : 10.8 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 6.0 mm
  Det_Attenuation : 10 %
  Det_Filter : FGL 495 (1)
  Det_Grating : 1200gr_500bl (1)
  Detector : UV-red [HPD]
  Meas_Time : 319.1 s
  Meas_BinWidth : 8 ps
  Meas_BaseResolution : 1 ps
  Meas_Stop : 50000 counts
  Meas_PeakCounts : 50000 counts
  Sync_Frequency : 19507560 Hz
  Sync_Source : PDL 800 D
  Signal_Rate : 83640 cps
  Start_Date : 10/20/2015
  Start_Time : 11:23:51
  PhotonCounter : HydraHarp 400 1011011 1.21
  EasyTau : 1874
  Signal_CFD Level : 70 mV
  Signal_CFD Zero Cross : 10 mV
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_CFD Level : 160 mV
  Sync_CFD Zero Cross : 10 mV
  Sync_Offset : 30000 ps
  Sync_SyncDiv : 8 
   : 
	NOD:      	 SH:0.1.0.9 SW:1.0.4.213 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:0.1.0.6 SW:1.0.4.213 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:1.0.4.20 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:0.1.0.9 SW:1.0.4.24 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:1.0.4.20 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:0.1.0.9 SW:1.0.4.24 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.213 HW:0.0.1.2 AUX:0.0.0.0
	DEV(SMP):	 SH:1.0.4.32 SW:1.0.4.224 HW:0.1.1.10 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.0.3.12 SW:1.0.4.24 HW:0.1.1.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.0.2.126 SW:1.0.4.151 HW:0.0.1.2 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.4.179 HW:0.1.1.10 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(ETC):	 SH:0.1.0.8 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(LSC):	 SH:0.1.0.8 SW:0.1.0.1 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:0.1.0.9 SW:0.0.0.0 HW:0.0.0.0 AUX:0.0.0.0
	DEV(LSC):	 SH:0.1.0.8 SW:0.1.0.1 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.0.2.4 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.0 SW:1.1.7.115 HW:0.0.2.4 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	8
0.00799999996803358	8
0.0159999999360672	8
0.0239999999041007	9
0.0319999998721343	5
0.0399999998401679	7
0.0479999998082015	5
0.055999999776235	6
0.0639999997442686	11
0.0720000031817491	5
0.0799999996803358	6
0.0879999961789224	8
0.0959999996164029	14
0.104000003053883	4
0.11199999955247	5
0.119999996051057	2
0.127999999488537	4
0.136000002926018	10
0.144000006363498	5
0.151999995923191	9
0.159999999360672	6
0.168000002798152	5
0.175999992357845	5
0.183999995795325	6
0.191999999232806	4
0.200000002670286	7
0.208000006107767	11
0.21599999566746	6
0.22399999910494	4
0.232000002542421	5
0.239999992102113	6
0.248000009417382	7
0.255999998977074	5
0.263999988536767	7
0.272000005852036	4
0.279999995411728	4
0.288000012726997	8
0.296000002286689	5
0.303999991846382	2
0.31200000916165	7
0.319999998721343	5
0.327999988281036	9
0.336000005596304	7
0.343999995155997	6
0.35199998471569	3
0.360000002030958	6
0.367999991590651	8
0.376000008905919	7
0.383999998465612	6
0.391999988025304	6
0.400000005340573	6
0.407999994900266	10
0.416000012215534	13
0.424000001775227	3
0.431999991334919	8
0.440000008650188	11
0.44799999820988	8
0.455999987769573	6
0.464000005084841	3
0.471999994644534	14
0.479999984204227	6
0.48799997376392	9
0.496000018834764	5
0.504000008394456	4
0.511999997954149	11
0.519999987513842	5
0.527999977073534	8
0.536000022144378	1
0.544000011704071	5
0.552000001263764	7
0.559999990823457	2
0.567999980383149	3
0.576000025453993	6
0.584000015013686	5
0.592000004573379	5
0.599999994133071	6
0.607999983692764	8
0.615999973252457	5
0.624000018323301	1
0.632000007882994	4
0.639999997442686	9
0.647999987002379	6
0.655999976562072	8
0.664000021632916	6
0.672000011192608	4
0.680000000752301	7
0.687999990311994	3
0.695999979871687	8
0.703999969431379	7
0.712000014502223	7
0.720000004061916	7
0.727999993621609	7
0.735999983181301	7
0.743999972740994	10
0.752000017811838	7
0.760000007371531	4
0.767999996931223	2
0.775999986490916	6
0.783999976050609	3
0.792000021121453	11
0.800000010681146	10
0.808000000240838	2
0.815999989800531	7
0.823999979360224	3
0.832000024431068	9
0.84000001399076	12
0.848000003550453	13
0.855999993110146	7
0.863999982669839	8
0.871999972229531	11
0.880000017300375	7
0.888000006860068	1
0.895999996419761	8
0.903999985979453	5
0.911999975539146	6
0.92000002060999	8
0.928000010169683	11
0.935999944218224	4
0.943999989289068	7
0.952000034359912	6
0.959999968408454	6
0.968000013479298	8
0.975999947527839	4
0.983999992598683	6
0.992000037669527	5
0.999999971718068	4
1.00800001678891	8
1.01599995083745	6
1.0239999959083	8
1.03200004097914	6
1.03999997502768	7
1.04800002009853	10
1.05599995414707	6
1.06399999921791	4
1.07200004428876	8
1.0799999783373	9
1.08800002340814	7
1.09599995745668	4
1.10400000252753	3
1.11200004759837	4
1.11999998164691	6
1.12800002671776	6
1.1359999607663	1
1.14400000583714	7
1.15200005090799	8
1.15999998495653	6
1.16800003002737	8
1.17599996407591	7
1.18400000914676	4
1.1919999431953	9
1.19999998826614	8
1.20800003333699	8
1.21599996738553	5
1.22400001245637	5
1.23199994650491	4
1.23999999157576	4
1.2480000366466	5
1.25599997069514	5
1.26400001576599	6
1.27199994981453	8
1.27999999488537	3
1.28800003995622	1
1.29599997400476	6
1.3040000190756	4
1.31199995312414	4
1.31999999819499	7
1.32800004326583	6
1.33599997731437	2
1.34400002238522	9
1.35199995643376	6
1.3600000015046	5
1.36800004657545	7
1.37599998062399	7
1.38400002569483	9
1.39199995974337	7
1.40000000481422	5
1.40799993886276	6
1.4159999839336	4
1.42400002900445	10
1.43199996305299	11
1.44000000812383	9
1.44799994217237	8
1.45599998724322	7
1.46400003231406	11
1.4719999663626	9
1.48000001143345	5
1.48799994548199	10
1.49599999055283	2
1.50400003562368	6
1.51199996967222	3
1.52000001474306	4
1.5279999487916	6
1.53599999386245	6
1.54400003893329	5
1.55199997298183	6
1.56000001805268	2
1.56799995210122	3
1.57599999717206	6
1.58400004224291	6
1.59199997629145	6
1.60000002136229	5
1.60799995541083	11
1.61600000048168	5
1.62400004555252	6
1.63199997960106	4
1.64000002467191	9
1.64799995872045	5
1.65600000379129	4
1.66400004886214	8
1.67199998291068	6
1.68000002798152	8
1.68799996203006	8
1.69600000710091	6
1.70399994114945	5
