Item name: Decay

Real time: 412.92
Live time: 239.42

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	2
103	1
104	8
105	10
106	7
107	8
108	4
109	7
110	15
111	7
112	8
113	10
114	16
115	8
116	10
117	9
118	13
119	6
120	8
121	5
122	11
123	13
124	7
125	14
126	17
127	11
128	4
129	15
130	22
131	13
132	11
133	10
134	9
135	8
136	7
137	7
138	9
139	8
140	8
141	10
142	9
143	13
144	8
145	10
146	12
147	12
148	8
149	11
150	11
151	6
152	10
153	10
154	4
155	12
156	9
157	12
158	7
159	15
160	6
161	16
162	11
163	10
164	9
165	7
166	8
167	7
168	2
169	10
170	9
171	9
172	10
173	11
174	13
175	11
176	12
177	17
178	3
179	11
180	11
181	16
182	9
183	8
184	10
185	9
186	11
187	7
188	8
189	11
190	7
191	10
192	10
193	10
194	11
195	10
196	7
197	6
198	19
199	8
200	7
201	10
202	9
203	8
204	10
205	13
206	8
207	10
208	7
209	7
210	13
211	9
212	11
213	13
214	12
215	6
216	10
217	5
218	13
219	9
220	8
221	14
222	10
223	11
224	8
225	13
226	6
227	10
228	11
229	7
230	16
231	7
232	4
233	12
234	3
235	7
236	11
237	7
238	11
239	7
240	5
241	10
242	7
243	11
244	16
245	10
246	16
247	13
248	15
249	7
250	7
251	8
252	7
253	12
254	14
255	5
256	14
257	9
258	15
259	13
260	6
261	11
262	8
263	16
264	13
265	13
266	8
267	10
268	8
269	11
270	8
271	6
