Item name: O:\TCSPC\RNA4WJ\110808\whitelight\Prompt.txt

Real time: 25.9
Live time: 13.08

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	2
104	1
105	1
106	1
107	1
108	0
109	0
110	0
111	0
112	0
113	1
114	1
115	0
116	0
117	0
118	1
119	0
120	0
121	1
122	1
123	2
124	1
125	0
126	2
127	1
128	1
129	0
130	4
131	0
132	1
133	2
134	0
135	1
136	1
137	2
138	6
139	2
140	1
141	0
142	2
143	1
144	0
145	0
146	2
147	1
148	1
149	0
150	2
151	0
152	1
153	0
154	0
155	2
156	2
157	1
158	0
159	1
160	1
161	1
162	2
163	0
164	2
165	1
166	1
167	1
168	0
169	4
170	1
171	1
172	1
173	0
174	1
175	2
176	0
177	0
178	0
179	0
180	1
181	2
182	1
183	0
184	5
185	1
186	1
187	2
188	0
189	2
190	1
191	1
192	2
193	0
194	2
195	1
196	1
197	1
198	0
199	0
200	0
201	0
202	0
203	0
204	1
205	0
206	1
207	2
208	0
209	0
210	1
211	1
212	1
213	0
214	1
215	0
216	2
217	0
218	1
219	1
220	0
221	0
222	1
223	0
224	0
225	1
226	0
227	2
228	3
229	2
230	1
231	1
232	0
233	1
234	1
235	0
236	0
237	2
238	1
239	1
240	0
241	1
242	0
243	0
244	0
245	2
246	2
247	2
248	0
249	0
250	1
251	1
252	1
253	0
254	1
255	1
256	2
257	1
258	0
259	0
260	1
261	1
262	1
263	0
264	0
