Item name: Decay

Real time: 1841.9
Live time: 1249

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	2
101	0
102	2
103	5
104	7
105	17
106	17
107	21
108	34
109	25
110	27
111	28
112	23
113	13
114	25
115	18
116	25
117	15
118	24
119	19
120	15
121	20
122	26
123	26
124	14
125	27
126	23
127	22
128	26
129	17
130	28
131	21
132	21
133	27
134	23
135	21
136	31
137	13
138	25
139	18
140	27
141	26
142	15
143	25
144	24
145	23
146	27
147	29
148	25
149	25
150	26
151	18
152	22
153	24
154	15
155	20
156	34
157	22
158	25
159	22
160	17
161	17
162	20
163	29
164	21
165	23
166	24
167	30
168	23
169	26
170	24
171	16
172	24
173	21
174	18
175	20
176	16
177	23
178	26
179	28
180	20
181	19
182	16
183	35
184	20
185	18
186	21
187	18
188	19
189	19
190	16
191	20
192	15
193	26
194	31
195	27
196	29
197	29
198	27
199	33
200	21
201	35
202	19
203	21
204	24
205	24
206	26
207	17
208	22
209	24
210	31
211	23
212	24
213	31
214	27
215	23
216	22
217	27
218	27
219	13
220	25
221	20
222	22
223	24
224	15
225	24
226	29
227	28
228	22
229	22
230	23
231	25
232	15
233	20
234	20
235	29
236	16
237	20
238	22
239	22
240	29
241	23
242	24
243	24
244	23
245	22
246	32
247	26
248	23
249	18
250	26
251	15
252	28
253	26
254	25
255	26
256	21
257	21
258	34
259	22
260	23
261	25
262	23
263	25
264	24
265	17
266	25
267	18
268	21
269	30
270	18
271	17
