Item name: c13

Real time: 4462.9
Live time: 4298.06

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	1
102	2
103	2
104	4
105	8
106	18
107	12
108	13
109	6
110	10
111	17
112	11
113	14
114	11
115	8
116	9
117	11
118	12
119	9
120	8
121	12
122	5
123	5
124	10
125	20
126	9
127	12
128	7
129	9
130	14
131	10
132	9
133	13
134	18
135	11
136	13
137	20
138	12
139	16
140	7
141	11
142	14
143	16
144	10
145	5
146	7
147	8
148	10
149	17
150	14
151	15
152	13
153	15
154	15
155	18
156	7
157	6
158	14
159	11
160	12
161	15
162	7
163	10
164	12
165	19
166	16
167	14
168	12
169	24
170	13
171	18
172	10
173	14
174	14
175	19
176	12
177	17
178	12
179	9
180	10
181	8
182	15
183	15
184	20
185	10
186	7
187	12
188	10
189	20
190	15
191	15
192	13
193	13
194	14
195	11
196	15
197	9
198	20
199	12
200	16
201	13
202	17
203	8
204	17
205	8
206	12
207	13
208	13
209	16
210	15
211	14
212	9
213	13
214	9
215	9
216	10
217	13
218	11
219	18
220	13
221	16
222	8
223	10
224	11
225	12
226	9
227	24
228	21
229	13
230	12
231	14
232	12
233	15
234	11
235	16
236	9
237	15
238	12
239	10
240	12
241	20
242	14
243	13
244	16
245	16
246	13
247	13
248	23
249	6
250	4
251	18
252	13
253	11
254	9
255	7
256	22
257	6
258	11
259	6
260	11
261	10
262	14
263	6
264	14
265	14
266	17
267	9
268	12
269	12
270	11
271	9
