Item name: Decay

Real time: 4420.06
Live time: 4268.36

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	3
104	0
105	9
106	9
107	11
108	10
109	11
110	13
111	12
112	11
113	12
114	15
115	5
116	15
117	6
118	14
119	12
120	17
121	10
122	13
123	13
124	23
125	9
126	15
127	14
128	9
129	10
130	8
131	9
132	12
133	15
134	11
135	9
136	19
137	12
138	15
139	7
140	10
141	7
142	18
143	10
144	6
145	10
146	17
147	11
148	12
149	10
150	10
151	18
152	7
153	15
154	16
155	12
156	9
157	13
158	8
159	11
160	10
161	15
162	4
163	8
164	12
165	8
166	12
167	10
168	12
169	8
170	13
171	17
172	8
173	11
174	7
175	4
176	10
177	11
178	12
179	10
180	14
181	14
182	7
183	10
184	11
185	9
186	15
187	11
188	5
189	14
190	13
191	13
192	13
193	19
194	13
195	11
196	11
197	9
198	13
199	15
200	11
201	10
202	14
203	8
204	13
205	18
206	12
207	11
208	8
209	10
210	12
211	14
212	14
213	9
214	17
215	13
216	12
217	14
218	6
219	12
220	14
221	12
222	8
223	6
224	17
225	9
226	12
227	14
228	6
229	8
230	12
231	11
232	13
233	20
234	9
235	10
236	10
237	19
238	13
239	12
240	12
241	14
242	10
243	14
244	11
245	14
246	8
247	12
248	13
249	14
250	8
251	7
252	8
253	13
254	9
255	6
256	9
257	12
258	15
259	13
260	8
261	16
262	9
263	12
264	12
265	11
266	16
267	10
268	8
269	13
270	13
271	9
