Item name: Decay_8

Real time: 3193.26
Live time: 2930.66

Comment: 


Chan	Data
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	0
102	1
103	3
104	5
105	5
106	15
107	17
108	17
109	8
110	9
111	21
112	13
113	16
114	18
115	14
116	20
117	10
118	16
119	15
120	16
121	16
122	16
123	19
124	15
125	16
126	20
127	21
128	17
129	13
130	15
131	11
132	21
133	19
134	18
135	16
136	16
137	20
138	16
139	20
140	12
141	15
142	13
143	15
144	18
145	15
146	14
147	20
148	13
149	10
150	18
151	19
152	16
153	9
154	24
155	11
156	16
157	10
158	13
159	17
160	12
161	13
162	24
163	12
164	16
165	23
166	13
167	13
168	16
169	21
170	16
171	16
172	18
173	22
174	16
175	12
176	13
177	23
178	15
179	23
180	22
181	21
182	17
183	18
184	10
185	14
186	18
187	10
188	9
189	15
190	16
191	14
192	18
193	13
194	21
195	17
196	9
197	15
198	13
199	16
200	21
201	24
202	11
203	18
204	11
205	18
206	11
207	14
208	13
209	11
210	22
211	13
212	14
213	16
214	16
215	11
216	16
217	15
218	18
219	14
220	22
221	13
222	21
223	12
224	19
225	20
226	19
227	20
228	23
229	19
230	16
231	9
232	13
233	22
234	13
235	25
236	18
237	25
238	25
239	16
240	15
241	20
242	22
243	20
244	12
245	22
246	15
247	21
248	16
249	19
250	15
251	17
252	17
253	12
254	15
255	15
256	13
257	13
258	23
259	19
260	14
261	15
262	22
263	22
264	18
265	19
266	25
267	11
268	13
269	19
270	24
