Item name: Decay

Real time: 3416.78
Live time: 1464.18

Comment: 


Chan	Data
1	0
2	19
3	28
4	25
5	22
6	30
7	29
8	24
9	23
10	21
11	29
12	17
13	21
14	17
15	19
16	20
17	26
18	24
19	30
20	14
21	24
22	25
23	21
24	22
25	22
26	26
27	29
28	32
29	30
30	25
31	28
32	33
33	33
34	25
35	29
36	33
37	31
38	31
39	28
40	33
41	32
42	42
43	31
44	42
45	48
46	26
47	41
48	27
49	36
50	37
51	34
52	32
53	44
54	34
55	42
56	35
57	39
58	40
59	38
60	29
61	34
62	32
63	33
64	38
65	49
66	36
67	32
68	44
69	40
70	38
71	36
72	34
73	42
74	32
75	36
76	48
77	31
78	37
79	41
80	35
81	35
82	47
83	43
84	50
85	43
86	37
87	49
88	29
89	41
90	44
91	43
92	42
93	40
94	10
95	28
96	54
97	126
98	285
99	697
100	1424
101	2921
102	5706
103	10527
104	17971
105	33111
106	41154
107	41623
108	41668
109	41525
110	41285
111	41596
112	41390
113	40998
114	41002
115	41427
116	41255
117	41250
118	41649
119	40999
120	40924
121	41125
122	41027
123	40923
124	41367
125	41216
126	41380
127	40985
128	40998
129	41144
130	41614
131	41282
132	41448
133	41228
134	40908
135	41194
136	41160
137	41056
138	40977
139	41185
140	41220
141	41142
142	41200
143	41534
144	41172
145	41139
146	41255
147	41170
148	41307
149	41455
150	41208
151	41554
152	41270
153	41342
154	41123
155	41458
156	41154
157	41029
158	41209
159	41423
160	41441
161	41069
162	41556
163	41322
164	41216
165	41531
166	41819
167	41785
168	41445
169	41739
170	41612
171	41256
172	41660
173	41627
174	41552
175	41751
176	41519
177	41855
178	42045
179	41461
180	41724
181	41398
182	41833
183	41501
184	41799
185	41546
186	42073
187	41741
188	41497
189	42113
190	41725
191	41876
192	41954
193	41673
194	41526
195	41469
196	41652
197	41787
198	41688
199	41705
200	41803
201	41651
202	41880
203	41673
204	41789
205	41612
206	41587
207	41661
208	41891
209	41193
210	41590
211	41685
212	41589
213	41420
214	41636
215	41484
216	41481
217	41416
218	41719
219	41654
220	41426
221	41280
222	41446
223	41198
224	41128
225	41472
226	41557
227	41167
228	41358
229	41323
230	41272
231	41419
232	41151
233	41336
234	41355
235	40772
236	40989
237	41398
238	41266
239	40858
240	40957
241	40848
242	40893
243	41040
244	41266
245	40921
246	40974
247	41176
248	41181
249	40893
250	40985
251	41368
252	40865
253	40820
254	41143
255	41192
256	41140
257	40674
258	41141
259	40943
260	40751
261	40898
262	41058
263	41141
264	40967
265	40721
266	41125
267	40676
268	40982
269	41459
270	41053
271	41014
272	40826
273	40904
274	41132
275	40791
276	41370
277	40880
278	40693
279	40912
280	41391
281	41248
282	41320
283	41324
284	41303
285	41243
286	40853
287	41190
288	41202
289	41381
290	41090
291	41126
292	41353
293	41249
294	41133
295	40567
296	41114
297	40948
298	41099
299	41049
300	40980
301	41091
302	40891
303	41520
